product_name,product_price,product_brand,product_image_url,product_url
Lib Tech Travis Rice Pro Blunt 153 2021,"€ 219,95",Lib Tech,//images.blue-tomato.com/is/image/bluetomato/304372784_front.jpg-ywUPw7SRE5dVWktINLAXMIkrIIo/Gnu+Riders+Choice+157+5+2021+Snowboard.jpg?$b1$,/de-AT/product/Lib+Tech-Travis+Rice+Pro+Blunt+153+2021+Snowboard-628750/
Nitro Anthem TLS 2021,,Nitro,//images.blue-tomato.com/is/image/bluetomato/304342408_front.jpg-X4zvJeyS6xI13vZdiheqVWPue3U/Burton+Slx+2021+Snowboardboots.jpg?$b1$,/de-AT/product/Nitro-Anthem+TLS+2021+Snowboardboots-620659/
Capita Mercury 157 2021,"€ 669,95",Capita,//images.blue-tomato.com/is/image/bluetomato/304039341_front.jpg-3Sa-sSQo_EDtA_2jUBukcifsozI/Roxy+Rock+it+Dash+2020+Snowboardbindung.jpg?$b1$,/de-AT/product/Capita-Mercury+157+2021+Snowboard-618452/
Dragon NFX2 Comp (+Bonus Lens) Goggle,"€ 599,95",Dragon,//images.blue-tomato.com/is/image/bluetomato/304342024_front.jpg-0C5_0qzf0T0fUMQTBsv0qJvgjsw/Burton+Process+155+2021+Snowboard.jpg?$b1$,/de-AT/product/Dragon-NFX2+Comp+Bonus+Lens+Goggle-627732/
Salomon Spell+ Helmet,"€ 289,95",Salomon,//images.blue-tomato.com/is/image/bluetomato/304367382_front.jpg-0OVKEZBZkqoNID_2hb2ZPXESL34/Bataleon+Evil+Twin+154+2021+Snowboard.jpg?$b1$,/de-AT/product/Salomon-Spell+Helm-630684/
Union Rosa 2021,"€ 569,95",Union,//images.blue-tomato.com/is/image/bluetomato/304367739_front.jpg-TjHTM4jazD8gFf4EbyDOu7bznZU/Arbor+Westmark+Rocker+157MW+2021+Snowboard.jpg?$b1$,/de-AT/product/Union-Rosa+2021+Snowboardbindung-618619/
Gnu Riders Choice 157.5 2021,"€ 199,95",Gnu,//images.blue-tomato.com/is/image/bluetomato/304021059_front.jpg-QQFk2ZnUNyzoyeajnjITehNasEE/Ride+Insano+2020+Snowboardboots.jpg?$b1$,/de-AT/product/Gnu-Riders+Choice+157+5+2021+Snowboard-628627/
Burton Slx 2021,"€ 99,95",Burton,//images.blue-tomato.com/is/image/bluetomato/304300179_front.jpg-1FXdfLbPh_aNw-M7PgNk14PHYLo/Capita+Defenders+Of+Awesome+152+2021+Snowboard.jpg?$b1$,/de-AT/product/Burton-Slx+2021+Snowboardboots-622759/
Roxy Rock-it Dash 2020,"€ 159,95",Roxy,//images.blue-tomato.com/is/image/bluetomato/304272334_front.jpg-LhIloRFvTmu2EQTfNhYVebMRhQ0/DEELUXE+ID+LTD+PF+2021+Snowboardboots.jpg?$b1$,/de-AT/product/Roxy-Rock+it+Dash+2020+Snowboardbindung-582297/
Burton Process 155 2021,"€ 579,95",Burton,//images.blue-tomato.com/is/image/bluetomato/304039486_front.jpg-wC9LlAdcYBWRJjeG39It4XovmKw/Bataleon+Evil+Twin+154+2020+Snowboard.jpg?$b1$,/de-AT/product/Burton-Process+155+2021+Snowboard-622556/
Bataleon Evil Twin 154 2021,"€ 559,95",Bataleon,//images.blue-tomato.com/is/image/bluetomato/304370158_front.jpg-66s1qpTmcOdsJsyQkMSZ5KGps08/Dragon+NFXs+Foliage+Bonus+Lens+Goggle.jpg?$b1$,/de-AT/product/Bataleon-Evil+Twin+154+2021+Snowboard-626805/
Arbor Westmark Rocker 157MW 2021,"€ 99,95",Arbor,//images.blue-tomato.com/is/image/bluetomato/304378564_front.jpg-VTJSe3Br-8k_j0PFXkND2cSfS2w/Salomon+Kiana+Dual+Boa+Snowboard+Boots+2021.jpg?$b1$,/de-AT/product/Arbor-Westmark+Rocker+157MW+2021+Snowboard-626999/
Ride Insano 2020,,Ride,//images.blue-tomato.com/is/image/bluetomato/304373085_front.jpg-Fu66wNb9IgSlQyD-X7LWS8czcfE/Roxy+Sugar+146+2021+Snowboard.jpg?$b1$,/de-AT/product/Ride-Insano+2020+Snowboardboots-578382/
Capita Defenders Of Awesome 152 2021,"€ 459,95",Capita,//images.blue-tomato.com/is/image/bluetomato/304358301_front.jpg-ld8pRjWwmsKmm1uwpwD_TO_R-4Q/Ride+A+6+2021+Snowboardbindung.jpg?$b1$,/de-AT/product/Capita-Defenders+Of+Awesome+152+2021+Snowboard-618460/
DEELUXE ID LTD. PF 2021,"€ 489,95",DEELUXE,//images.blue-tomato.com/is/image/bluetomato/303507965_front.jpg-B-UAfSP1qV8Lfr2Bx_w5kYPesWg/Anon+M4+Cylindrical+Smoke+Bonus+Lens+Goggle.jpg?$b1$,/de-AT/product/DEELUXE-ID+LTD+PF+2021+Snowboardboots-615590/
